codigo_comunidad,comunidad,name,year,precio,IPC,edad_media,mano_obra,precio_Acero,precio_Aluminio,precio_Cemento,precio_Ceramica,precio_Cobre,precio_Energía,precio_Ligantes,precio_Madera,num_hipotecas,num_inmigracion
1,andalucia,Andalucía,2020-09-28,1230.2426945465188,96.99777395358063,42.90554703832353,405.0339793302382,1062.3980301958388,753.4827988388973,1649.8006365907613,1517.8970906267832,2135.7031736080603,2892.1443796088747,5139.87840707223,1909.7176975478471,21811,464781
12,extremadura,Extremadura,2015-07-03,803.8376915116742,93.98613942423766,44.19053785650248,389.9877649640035,997.6548622772087,774.1423235416662,1628.9567634497853,1444.6215023271309,1964.747467116618,3143.0620109711786,4184.047008857005,1813.2273618582021,1592,9411
6,cantabria,Cantabria,2002-12-24,1130.477644586124,71.72626207277348,42.5842866238834,313.66004789686843,720.5473719319327,719.7187317918514,1348.806345833128,1229.7401875581447,527.8783988604685,2024.792460342142,1438.428537391864,1501.8943872819475,6144,19564
15,comunidad-foral-navarra,Comunidad Foral de Navarra,2013-07-02,1483.514953007227,95.05989391017226,43.07642350723765,392.8000910394134,1055.5271663029694,701.6063277919584,1673.08581164447,1427.1920388459253,2088.686514521419,3485.482161720262,5380.60192262675,1758.8755893488974,1249,44409
6,comunidad-foral-navarra,Cantabria,2010-01-05,1992.019674032224,85.59619519032766,43.70490483398929,363.72659942734845,934.7343644564179,768.3881482417514,1612.1167333804435,1429.497934530091,1807.6627742261287,2657.241150863781,3880.95347589862,1715.2144560637446,3518,40562
17,castilla-mancha,País Vasco,2017-07-01,2056.086912584845,94.19778063720828,45.9355448259658,395.0315886332003,1093.924248326381,778.5090560953648,1605.3752458005897,1447.9992344819325,2122.1742917093934,2876.5321196149953,4290.116025923867,1857.5492448808213,4622,78501
15,comunidad-foral-navarra,Comunidad Foral de Navarra,2012-04-01,1708.0,92.844,42.57583098180846,388.16,1170.3,792.2,1603.6,1425.9,2270.8,3705.7,6307.4,1747.5,1577,49103
7,castilla-leon,Castilla y León,2013-06-28,1071.8180461126706,93.84516761855095,47.038766132453496,392.2290886025658,1062.7493547688061,697.2657863981079,1675.5110472401811,1428.7222088900821,2068.724736197036,3476.390983444017,5452.863160182411,1758.3275233324546,5577,124557
3,principado-asturias,Principado de Asturias,2008-12-30,1801.0340349431215,86.7111090110851,46.60761068496527,359.38394661831086,1105.6820084221245,628.3007566819977,1715.3528041098452,1460.0687808927826,861.3901178926349,2188.1453215942133,2134.7014982011315,1721.1195818182584,5855,34748
9,catalunya,Cataluña,2016-07-01,1577.0,92.884,43.27201931036576,389.69,1023.3,719.3,1647.2,1441.0,1807.7,2799.5,3521.6,1844.5,14905,596225
