Timestamp,Sensor_ID,Temperature (°C),Humidity (%),Vibration_Level (Hz),Material_Usage (kg),Energy_Consumption (kWh),Worker_Count,Task_Progress (%),Safety_Incidents,Resource_Utilization (%),Risk_Score,Simulation_Accuracy (%),Optimization_Suggestion,Performance_Score
1/1/2023 0:00,Sensor_41,26.23620357,42.41844911,36.49991555,674.3301115,184.5104185,18,0.086505982,0,86.51838119,32.60780639,81.45849266,Enhance Safety Measures,Exceptional
1/1/2023 0:01,Sensor_27,43.52142919,39.97472577,9.22559978,513.3632082,92.66799882,79,0.162888328,0,91.00310654,98.11638824,83.01428689,Adjust Schedule,Exceptional
1/1/2023 0:02,Sensor_20,36.95981825,30.56923475,17.33198472,968.0486724,106.8616512,33,0.241355365,0,56.7419703,85.46018754,80.20250513,Reallocate Workers,Exceptional
1/1/2023 0:03,Sensor_31,32.95975453,56.43600021,33.16403184,297.0806059,131.3020077,99,0.267392033,0,83.96449832,14.81144336,81.96650527,Enhance Safety Measures,Exceptional
1/1/2023 0:04,Sensor_12,19.68055921,48.59744963,24.10446723,629.0707744,141.6440005,74,0.321956087,0,96.04583204,20.38771395,91.2925066,Increase Machinery Efficiency,Exceptional
1/1/2023 0:05,Sensor_89,19.67983561,71.94205954,36.92855193,730.1890135,159.0178141,96,0.334434802,0,62.57129764,74.85837029,84.87732418,Optimize Material Usage,Exceptional
1/1/2023 0:06,Sensor_98,16.74250837,21.92657483,48.06039506,843.0080404,164.957013,26,0.372792819,0,79.25043044,2.575176567,81.30761476,Adjust Schedule,Exceptional
1/1/2023 0:07,Sensor_54,40.98528437,58.63207565,5.827334386,466.2739274,255.0723555,46,0.414114576,0,63.72941423,33.54504263,82.57418682,Enhance Safety Measures,Exceptional
1/1/2023 0:08,Sensor_90,33.03345035,65.77693271,35.47838582,718.2297169,279.3079359,59,0.506346691,0,88.72037074,53.25185318,80.81970775,Enhance Safety Measures,Exceptional
1/1/2023 0:09,Sensor_49,36.24217733,65.56919415,11.51720778,372.8813242,188.9956437,54,0.605697143,0,79.03300186,20.49110954,94.76220179,Increase Machinery Efficiency,Exceptional
1/1/2023 0:10,Sensor_99,15.61753483,73.16443803,20.72383637,491.9284831,458.283389,29,0.671294274,0,71.40381739,87.31511274,90.66826472,Adjust Schedule,Exceptional
1/1/2023 0:11,Sensor_40,44.09729556,63.74202457,1.64313629,906.0644181,298.9128755,68,0.727803462,1,51.44939945,88.9268154,89.00854131,Reallocate Workers,Exceptional
1/1/2023 0:12,Sensor_48,39.97327922,75.6686037,6.795369115,954.9168484,404.3646176,68,0.777411466,0,97.2399474,95.68461472,96.59211718,Adjust Schedule,Exceptional
1/1/2023 0:13,Sensor_45,21.37017332,39.95939599,15.98886445,746.9356122,465.9070246,99,0.789058127,0,74.88696365,14.63308905,81.5134198,Optimize Material Usage,Exceptional
1/1/2023 0:14,Sensor_92,20.45474902,50.19256501,17.09929026,436.9167017,123.4108016,20,0.871068617,0,90.20547716,7.928754036,80.70620486,Increase Machinery Efficiency,Exceptional
